iter,train_timestamp,train_epoch,lr_g,lr_route,l_pix,l_route,time_sec,data_time_sec,set5_timestamp,set5_psnr,set5_ssim,set5_best_psnr,set5_best_psnr_iter,set5_best_ssim,set5_best_ssim_iter,set14_timestamp,set14_psnr,set14_ssim,set14_best_psnr,set14_best_psnr_iter,set14_best_ssim,set14_best_ssim_iter,set5_route_usage_active_mean,set5_route_usage_max_mean,set5_route_usage_std_mean,set5_route_entropy_norm_mean,set5_route_router_scale_mean,set5_route_xscore_mean_mean,set5_route_xscore_std_mean,set5_route_blocks,set14_route_usage_active_mean,set14_route_usage_max_mean,set14_route_usage_std_mean,set14_route_entropy_norm_mean,set14_route_router_scale_mean,set14_route_xscore_mean_mean,set14_route_xscore_std_mean,set14_route_blocks,train_source_log,set5_source_log,set14_source_log
2500,"2026-05-17 23:03:45,557",1,0.0002,2e-05,0.014381,5.2154e-11,0.51,0.001,"2026-05-17 23:04:45,925",36.9586,0.9563,36.9586,2500,0.9563,2500,"2026-05-17 23:05:16,423",32.5673,0.9084,32.5673,2500,0.9084,2500,33.15,0.385825,0.07375,0.5033875,5.999425,0.029349999999999998,1.25e-05,8,38.375,0.38584999999999997,0.07409999999999999,0.5152375,5.999425,0.029349999999999998,1.25e-05,8,train_train_CATANet_x2_scratch_20260517_224304.log,train_train_CATANet_x2_scratch_20260517_224304.log,train_train_CATANet_x2_scratch_20260517_224304.log
5000,"2026-05-18 12:32:01,545",2,0.0002,2e-05,0.013221,1.7881e-10,0.526,0.002,"2026-05-18 12:32:09,746",37.3092,0.958,37.3092,5000,0.9580,5000,"2026-05-18 12:32:34,557",32.9135,0.9119,32.9135,5000,0.9119,5000,38.675,0.3396375,0.0703875,0.5482750000000001,5.999199999999999,0.0294375,7.500000000000001e-05,8,42.946425000000005,0.3276625,0.06817500000000001,0.5669124999999999,5.999199999999999,0.029487499999999996,0.0001,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
7500,"2026-05-18 12:53:44,824",4,0.0002,2e-05,0.016936,5.6714e-08,0.525,0.001,"2026-05-18 12:54:42,153",37.4736,0.9586,37.4736,7500,0.9586,7500,"2026-05-18 12:55:00,495",33.0509,0.9131,33.0509,7500,0.9131,7500,40.925,0.317425,0.067825,0.5609875000000001,6.000575,0.030062499999999995,0.0012375,8,45.071425,0.33840000000000003,0.06892499999999999,0.568575,6.000575,0.030512499999999998,0.00225,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
10000,"2026-05-18 13:17:02,617",6,0.0002,2e-05,0.012926,3.4168e-08,0.527,0.003,"2026-05-18 13:17:06,900",37.5335,0.9591,37.5335,10000,0.9591,10000,"2026-05-18 13:17:25,088",33.108,0.9143,33.1080,10000,0.9143,10000,42.974999999999994,0.3104125,0.06655000000000001,0.574975,6.0014125,0.0309125,0.0028875000000000003,8,46.41965,0.33161250000000003,0.069075,0.570575,6.0014125,0.031349999999999996,0.0038374999999999998,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
12500,"2026-05-18 13:38:34,261",8,0.0002,2e-05,0.014559,3.5182e-08,0.524,0.001,"2026-05-18 13:39:31,214",37.6613,0.9594,37.6613,12500,0.9594,12500,"2026-05-18 13:39:49,692",33.2028,0.9149,33.2028,12500,0.9149,12500,43.8,0.33385000000000004,0.07,0.5589625,6.0022125,0.031474999999999996,0.0038875,8,46.70535,0.3206125,0.06795,0.5745875,6.0022125,0.031412499999999996,0.0038374999999999998,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
15000,"2026-05-18 14:01:51,369",10,0.0002,2e-05,0.014028,3.4884e-08,0.526,0.004,"2026-05-18 14:01:55,981",37.7259,0.9596,37.7259,15000,0.9596,15000,"2026-05-18 14:02:15,166",33.2368,0.9155,33.2368,15000,0.9155,15000,45.075,0.324625,0.07,0.55815,6.0032625,0.0314,0.004325000000000001,8,47.7053625,0.32807499999999995,0.07032499999999998,0.5567000000000001,6.0032625,0.031287499999999996,0.00405,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
17500,"2026-05-18 14:23:23,732",12,0.0002,2e-05,0.014574,8.4378e-08,0.525,0.001,"2026-05-18 14:24:20,967",37.7516,0.96,37.7516,17500,0.9600,17500,"2026-05-18 14:24:40,550",33.2627,0.9162,33.2627,17500,0.9162,17500,44.675,0.351,0.0725375,0.5385500000000001,6.004625000000001,0.031249999999999997,0.0042,8,47.160712499999995,0.33696250000000005,0.0711375,0.5504,6.004625000000001,0.031349999999999996,0.0041125,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
20000,"2026-05-18 14:46:41,773",14,0.0002,2e-05,0.014969,5.9024e-08,0.532,0.011,"2026-05-18 14:46:46,191",37.7815,0.9597,37.7815,20000,0.9600,17500,"2026-05-18 14:47:05,605",33.3256,0.9159,33.3256,20000,0.9162,17500,43.4,0.34116250000000004,0.07062500000000001,0.5455625,6.00545,0.031787499999999996,0.00435,8,46.535725,0.341,0.071175,0.5469875,6.00545,0.0317625,0.0042875000000000005,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
22500,"2026-05-18 15:08:14,571",16,0.0002,2e-05,0.013118,3.6836e-08,0.525,0.0,"2026-05-18 15:09:11,950",37.8319,0.9601,37.8319,22500,0.9601,22500,"2026-05-18 15:09:30,775",33.3603,0.9166,33.3603,22500,0.9166,22500,43.25,0.3284625,0.06808750000000001,0.559725,6.0065125,0.0317625,0.005125,8,46.0178625,0.338125,0.070475,0.546175,6.0065125,0.0318875,0.005200000000000001,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
25000,"2026-05-18 15:31:33,587",18,0.0002,2e-05,0.015455,6.0789e-08,0.527,0.001,"2026-05-18 15:31:37,975",37.7806,0.9598,37.8319,22500,0.9601,22500,"2026-05-18 15:31:57,032",33.3332,0.916,33.3603,22500,0.9166,22500,43.425,0.3116875,0.0664625,0.565825,6.0072125000000005,0.03165,0.00455,8,46.0000125,0.332675,0.0697125,0.5538375000000001,6.0072125000000005,0.031900000000000005,0.004725,8,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log,train_train_CATANet_x2_scratch_20260518_120949.log
