variant,iter,Set5_PSNR,Set5_SSIM,Urban100_PSNR,Urban100_SSIM,mean_entropy_norm,mean_usage_active,mean_router_scale,mean_xscore
full,80000,32.5656,0.8997,26.8146,0.8065,0.6865,52.2675,6.0591,0.0460
A1_refine_off,80000,32.5494,0.8995,26.8358,0.8065,0.6915,51.4225,6.0615,0.0410
A2_v1_hardsort,80000,32.5459,0.8995,26.8559,0.8074,0.7286,54.0425,4.9695,0.0302
A2_v2_confsort,80000,32.5249,0.8995,26.8324,0.8065,0.7270,54.1262,4.9810,0.0302
A2_v3_scoregate,80000,32.5116,0.8992,26.8123,0.8056,0.6014,45.9062,5.9749,0.0420
A3_balance_off,80000,32.5689,0.8997,26.8262,0.8062,0.6227,47.4963,6.1223,0.0542
full,100000,32.5842,0.8998,26.8262,0.8063,0.6840,52.0250,6.0616,0.0455
