iter,train_timestamp,train_epoch,lr_g,lr_route,l_pix,l_route,time_sec,data_time_sec,set5_timestamp,set5_psnr,set5_ssim,set5_best_psnr,set5_best_psnr_iter,set5_best_ssim,set5_best_ssim_iter,set14_timestamp,set14_psnr,set14_ssim,set14_best_psnr,set14_best_psnr_iter,set14_best_ssim,set14_best_ssim_iter,set5_route_usage_active_mean,set5_route_usage_max_mean,set5_route_usage_std_mean,set5_route_entropy_norm_mean,set5_route_router_scale_mean,set5_route_xscore_mean_mean,set5_route_xscore_std_mean,set5_route_blocks,set14_route_usage_active_mean,set14_route_usage_max_mean,set14_route_usage_std_mean,set14_route_entropy_norm_mean,set14_route_router_scale_mean,set14_route_xscore_mean_mean,set14_route_xscore_std_mean,set14_route_blocks,train_source_log,set5_source_log,set14_source_log
2500,"2026-06-07 00:24:02,244",1,0.0002,2e-05,0.021213,8.6726e-07,0.512,0.001,"2026-06-07 00:25:01,376",34.6203,0.929,34.6203,2500,0.929,2500,"2026-06-07 00:25:25,863",30.5774,0.8462,30.5774,2500,0.8462,2500,43.125,0.27797499999999997,0.0557875,0.6250375,5.955375,0.0404375,0.0083375,8,46.9107,0.2830875,0.0560125,0.627125,5.955375,0.0409875,0.0101,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
5000,"2026-06-07 00:46:49,544",3,0.0002,2e-05,0.02303,1.1145e-06,0.523,0.002,"2026-06-07 00:46:53,956",34.6575,0.9295,34.6575,5000,0.9295,5000,"2026-06-07 00:47:11,708",30.5826,0.8465,30.5826,5000,0.8465,5000,43.325,0.2464625,0.052375000000000005,0.6501875,5.9547,0.04065,0.008675,8,46.5267875,0.2772375,0.054825,0.6350750000000001,5.9547,0.041612500000000004,0.0111375,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
7500,"2026-06-07 01:07:40,410",5,0.0002,2e-05,0.018649,1.2379e-06,0.508,0.001,"2026-06-07 01:08:35,353",34.627,0.9291,34.6575,5000,0.9295,5000,"2026-06-07 01:08:53,604",30.5747,0.8463,30.5826,5000,0.8465,5000,42.65,0.25865,0.0535125,0.6379,5.9541125,0.041662500000000005,0.0092625,8,46.526787500000005,0.2968875,0.0569125,0.6238375,5.9541125,0.042112500000000004,0.010975,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
10000,"2026-06-07 01:30:13,726",7,0.0002,2e-05,0.020774,8.5924e-07,0.51,0.002,"2026-06-07 01:30:17,839",34.6242,0.9292,34.6575,5000,0.9295,5000,"2026-06-07 01:30:36,920",30.5865,0.8468,30.5865,10000,0.8468,10000,41.55,0.2708375,0.05545,0.6163125,5.953025,0.0415,0.009775,8,45.8571375,0.290875,0.0563,0.6231125,5.953025,0.041975,0.01155,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
12500,"2026-06-07 01:51:06,618",9,0.0002,2e-05,0.018626,1.1163e-06,0.508,0.001,"2026-06-07 01:52:02,050",34.6204,0.9292,34.6575,5000,0.9295,5000,"2026-06-07 01:52:21,368",30.5652,0.8465,30.5865,10000,0.8468,10000,43.3,0.2617875,0.0547625,0.626275,5.952325,0.0418,0.0094625,8,47.008925,0.304925,0.05865,0.6146375,5.952325,0.042075,0.011175000000000001,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
15000,"2026-06-07 02:13:41,651",11,0.0002,2e-05,0.020461,1.2831e-06,0.509,0.002,"2026-06-07 02:13:45,540",34.6201,0.9293,34.6575,5000,0.9295,5000,"2026-06-07 02:14:04,663",30.5829,0.8466,30.5865,10000,0.8468,10000,41.5,0.27385,0.0563625,0.6161,5.95185,0.0419375,0.009875,8,46.883925,0.3009625,0.0581625,0.616025,5.95185,0.0422125,0.0112625,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
17500,"2026-06-07 02:34:32,718",13,0.0002,2e-05,0.017948,8.7281e-07,0.51,0.001,"2026-06-07 02:35:28,578",34.6589,0.9294,34.6589,17500,0.9295,5000,"2026-06-07 02:35:47,974",30.5941,0.8468,30.5941,17500,0.8468,10000,42.425,0.2644375,0.055375,0.6186125,5.9517,0.04175,0.010199999999999999,8,46.830375000000004,0.30155,0.058975,0.61015,5.9517,0.0423625,0.01155,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
20000,"2026-06-07 02:57:08,795",15,0.0002,2e-05,0.021401,9.432e-07,0.511,0.002,"2026-06-07 02:57:13,651",34.6355,0.9291,34.6589,17500,0.9295,5000,"2026-06-07 02:57:32,946",30.5903,0.8464,30.5941,17500,0.8468,10000,42.5,0.26416249999999997,0.05505,0.62225,5.9525875,0.041725,0.0096125,8,46.741075,0.2961625,0.0578,0.6198375,5.9525875,0.042425,0.0113125,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
22500,"2026-06-07 03:18:01,671",17,0.0002,2e-05,0.019562,1.0299e-06,0.508,0.001,"2026-06-07 03:18:56,872",34.6708,0.9294,34.6708,22500,0.9295,5000,"2026-06-07 03:19:15,049",30.6027,0.8471,30.6027,22500,0.8471,22500,42.175000000000004,0.26405,0.055512500000000006,0.623675,5.952825,0.04165,0.009625,8,46.0892875,0.2920625,0.0575375,0.6188125,5.952825,0.0421125,0.0110125,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
25000,"2026-06-07 03:40:35,811",19,0.0002,2e-05,0.019724,1.0977e-06,0.509,0.003,"2026-06-07 03:40:40,408",34.615,0.9293,34.6708,22500,0.9295,5000,"2026-06-07 03:40:58,549",30.5631,0.8461,30.6027,22500,0.8471,22500,41.525,0.2919625,0.0581,0.6122375,5.9525749999999995,0.042312499999999996,0.0103625,8,47.0803375,0.3215625,0.060925,0.6035375000000001,5.9525749999999995,0.0430375,0.012125,8,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log,train_train_CATANet_x3_finetune_20260607_000319.log
